rowname,10_WT_B_S18,11_WT_C_S19,12_WT_D_S20,13_TRMB_A_S21,14_TRMB_B_S22,15_TRMB_C_S23,16_TRMB_D_S24,1_WT_A_S9,2_WT_B_S10,3_WT_C_S11,4_WT_D_S12,5_TRMB_A_S13,6_TRMB_B_S14,7_TRMB_C_S15,8_TRMB_D_S16,9_WT_A_S17,aBWT_C_noglu_24_S20_SP,aCWT_D_noglu_24_S21_SP,aFTrmB_C_noglu_24_S48_S1,aGTrmB_D_noglu_24_S42_S1,RWT_A_glu_24_S41_S1,SWT_B_glu_24_S16_SP,TWT_C_glu_24_S17_SP,UWT_D_glu_24_S46_S1,VTrmB_A_glu_24_S25_S1,WTrmB_B_glu_24_S11_S1,XTrmB_C_glu_24_S26_S1,YTrmB_D_glu_24_S18_SP,ZWT_A_noglu_24_S47_S1
HAH_RS08175,950.1071861610986,1467.7926423807382,833.7968160650785,837.8550116681954,843.3631836769532,683.8689586426462,874.1181116813691,995.1344308342807,926.6626109719978,1377.2198290243252,661.8549893552982,856.1951523758804,588.1042377787387,1256.2888576098414,808.5247596970156,847.7208310168626,1449.8126358231605,774.011901407449,545.3766496248286,568.3335251351257,1972.484799812156,1869.1901181911182,1603.650331599086,1101.3579907307274,1867.9645511112642,1561.8965138165306,1828.1642452670453,1858.700387134015,792.1252112026827
HAH_RS08180,2443.311121310473,2509.893807717817,1901.0567406283787,1598.02810172477,1907.4724355646526,1908.078822879482,1806.1699773533162,2729.8069136672193,2603.8281239685607,2400.943808709758,3026.4962561743428,2692.924625752928,2833.4885193958016,2470.944281661776,2629.2563477103718,2295.0762131073325,2820.6329654195774,2767.3072101033363,1529.677363799201,1367.9329163466534,2685.4514683523958,2888.300178862764,2594.3278232365237,2467.552065063598,2913.1265702091914,2972.4231147704177,2886.454649351099,2798.92877024926,2711.120489842989
HAH_RS08185,5379.779060667771,4555.1095427221335,4227.349857449948,3292.2338206829754,3894.187049461368,3845.7075390336463,3065.3771596779393,10938.961198623098,10765.547183485707,8112.022750628905,10549.937959654198,11574.449626767951,9613.375143181613,10456.236838068324,8596.00364721354,5946.283256935867,2326.0196018151964,3127.94033056893,2418.325030514622,2147.8700274464222,2557.049888236144,2274.8621257563345,4051.998495838963,6414.585027757302,2343.104041428825,2668.17712075794,2240.9509133344377,2187.9861248103985,2840.012901776443
HAH_RS19505,79.90388950632104,53.738280517887766,96.7204306635491,73.98278248725788,130.18357868838876,82.31755983661482,69.86129157687355,85.51202380162374,48.99116165993689,35.34958493388925,64.19840543400122,38.17430615688639,42.582890015290275,48.919284430540635,48.59419911222472,78.98711155143995,47.39538373604632,47.83908740870129,50.140710361547185,18.72598105881798,89.54320718633342,58.45620942345999,70.86391213429457,73.5238985637679,133.27083265004754,45.185048615714486,49.59544071049998,80.55740368154383,73.83157576770661
HAH_RS08190,510.6357938763329,525.7921956554117,476.9317787892249,440.1975557991844,383.00386193830315,331.3809460089366,335.67498635717294,602.3429368883607,605.614147328156,572.6632759290059,570.1429815924394,670.7770938995751,693.9860183572982,608.8889657843888,642.0637797593947,555.1347699178667,339.66691677499864,400.49902663951207,158.9074820689034,141.38115699407575,446.0265414564533,350.0329648609592,415.9711642283091,477.90534066449135,397.63960393954403,428.50487770569237,417.36470874836135,394.5548749658096,402.31951880199443
HAH_RS08195,325.8580493929655,199.1477454486429,460.2558424679233,233.04576483486233,183.01169757643058,75.98543984918291,184.02486561713033,769.6082142146137,525.3520314171956,397.32933465691514,580.8427158314396,620.6051486648101,379.793343379616,555.8063379980574,545.9093006649927,311.4984680901857,57.117513733184026,98.74478298462702,153.50771326073675,68.34983086468563,130.09107459146554,145.0840860389489,247.31505334868802,336.8594944401203,100.67742249106853,146.09832385747683,142.68226789020764,138.18240777491096,128.2667206133886
HAH_RS08200,28765.400222275573,40925.388535583545,21727.077433023813,32731.832541925065,32877.95713367917,33059.998454381996,39902.72502798109,30637.736527781763,31587.833254100584,32886.425855695845,28661.530959356114,31017.169099701,34771.80691978284,33587.77252284141,31221.25597003936,29724.741317505974,31677.130063173932,26293.098425782362,13798.723491497785,14279.49685640165,41574.23529882452,39583.305279840024,35485.104001248,25393.50402742706,40930.08017964232,45972.774629915104,37163.77124132804,43879.676586361515,23771.890323241332
HAH_RS08205,2340.9342628804993,1862.9270579534425,2639.8007196620383,5901.976472920997,5275.2650146773185,4476.80883111436,7986.338380995277,937.8131841101152,900.6034824294782,1142.4985850633004,1152.5142308865932,822.3836240654953,1448.9691494392016,1022.100793846615,1276.8901256084582,2415.225622227833,738.2742466576447,581.4289085057541,348.6707858987589,211.60358596464317,1246.8469227078126,930.3693090167548,566.9112970743565,431.3902211649647,1054.5778931438545,1354.045290184244,773.6888750837996,1035.4860429430562,555.6138922179955
HAH_RS08215,523.1207766116955,461.5169973889184,733.7411981372691,578.9152729627929,613.1835228076283,578.3336255187811,535.0352574423974,470.78597719355486,457.5982972066446,503.3780894585829,440.2176372617226,473.3613963453912,455.7520120555391,420.49767893485995,485.9419911222472,554.0222753889732,575.428569205588,468.57772795189464,776.7953128319695,640.4285522115749,477.2821892479093,591.6050110326071,462.7413462369435,378.8731507622734,548.2935886743804,554.2699296860976,578.359139362446,579.7781024087753,655.7245034284451
HAH_RS08220,268.42712881029723,212.84573852182996,346.85947548307263,266.33801695412836,324.51558745511403,251.17409283479907,293.07663783468905,249.95822342013093,228.27796603247188,258.7589617160693,270.55042290043366,250.8597261738248,267.00622928506334,278.94400483797637,296.734790323585,231.39886200985225,344.5279817735675,261.8883374809673,439.6954600935676,365.1566306469506,372.5335317846513,376.7960486933867,321.7221610896973,312.10144696456575,441.82178215504894,399.8876802490732,344.8790646330152,423.9553872583438,388.55430976055766
HAH_RS08225,84.8978826004661,87.45641731342518,83.37968160650784,88.77933898470945,92.44920805407318,71.7640265242283,73.26915945867226,131.55695969480576,119.87199129559026,123.01655556993458,97.82614161371613,101.43458493115526,118.54155869121347,168.61540590952305,155.08786950710018,101.23700212931035,156.16171307902442,141.6772973257692,141.9367801003797,117.03738161761237,220.47902901540587,175.36862827038,191.33256276259533,216.82047637682575,207.87352701393286,196.554961478358,179.30659333796146,204.03955531018767,178.94771753867872
HAH_RS08230,370.80398724027106,427.798860593381,338.5215073224218,368.0643428741079,398.0976101920294,401.0342658706876,385.0890706432542,629.5940213965704,613.9530684617623,663.1582133597623,612.9419185484402,652.2352880519445,653.7049061806723,678.6249669938828,655.5047284500101,441.6603279707276,497.65152922848637,461.217868350556,427.3531313891868,394.18190128811847,595.5468025128779,521.8801347323356,591.7136663213596,671.4682572915538,493.24694040588247,625.8129233276455,589.0412342847075,598.0064200301466,543.7257571367546
