rowname,10_WT_B_S18,11_WT_C_S19,12_WT_D_S20,13_TRMB_A_S21,16_TRMB_D_S24,1_WT_A_S9,2_WT_B_S10,3_WT_C_S11,4_WT_D_S12,5_TRMB_A_S13,7_TRMB_C_S15,9_WT_A_S17,aBWT_C_noglu_24_S20_SP,aCWT_D_noglu_24_S21_SP,RWT_A_glu_24_S41_S1,SWT_B_glu_24_S16_SP,TWT_C_glu_24_S17_SP,UWT_D_glu_24_S46_S1,ZWT_A_noglu_24_S47_S1
HAH_RS02030,57341.81779624657,70115.80931346097,41885.172905489206,87248.42583267638,97286.26779892876,65352.19893862567,57636.99218308479,49537.788373914394,66059.74824233243,68002.041551621893,54105.74184648877,63131.392861217864,47270.96933023038,58686.622644774005,40132.93283051676,43327.83148716373,54416.370569131985,59402.91576330423,54577.56828298392
HAH_RS02035,10103.070460472929,13218.13506726445,7708.917407930329,15756.73129927271,17799.764962008205,12412.971879362229,9968.930523327032,8968.084072661599,11223.794744513412,12070.74436099393,9104.341447960993,11187.258211623619,9081.342955787331,10709.578337730563,7389.38589808047,7711.912216083208,10290.991855425978,10589.998876699261,10435.754294804505
HAH_RS02040,85591.76542518348,111144.62505398692,63664.143078717585,130811.15354243034,143163.24493413902,100278.21324227705,87316.56287376976,76609.90365362425,97556.16501399028,107078.6284845739,79745.7637580437,95890.78467105959,75491.51248636527,91685.0449939763,61348.13416856323,69695.96521044939,83819.50483852747,92273.36462595027,87180.57671456557
HAH_RS02045,77066.68428370742,96421.63045987932,56979.672002977444,110027.31833765874,122535.40065534967,87138.1177956214,75783.8180635223,63919.45618720934,85151.63067225856,91135.30354279754,65064.06201939596,85836.30221241828,64541.11638327059,77662.77607880047,51945.74300884535,57503.84539464828,71371.76445162446,79808.74092183726,76536.68788716065
HAH_RS02050,3259.372633934249,2935.624028439515,2924.8685136444415,4643.509631585318,4812.994014222006,1862.7331131555436,2372.9673729206675,2315.1113929581884,2135.8601631210195,2234.884653038366,2149.0934748405775,2769.373279820093,3897.6596120677727,3381.1746673192697,4334.738262902504,4444.892207509932,2828.9363253302854,2092.6389489563276,3068.285928661229
HAH_RS02055,13891.721883150276,14912.928320796542,14286.159801557169,22169.546577043104,24161.671043549453,15603.052854850886,14233.69164242362,13159.065180397389,13940.247881553245,15034.091657319235,13229.778300143002,14982.93510485306,11232.313618895216,11038.059547568715,10527.699587358078,9835.682959257061,10162.0215175021,10987.466798967365,10850.170530338259
HAH_RS02060,438.1936018431241,416.39317004883276,663.1681570699749,440.49103224524754,386.80388975770785,512.2284493162683,635.3959430090869,689.6374119204754,618.1961458047457,620.8610711618379,688.943841216836,406.1308416700097,359.894701021955,359.3899583653571,474.3865267449758,574.7406967180625,527.0961636888936,550.22611627413,434.1797519824565
HAH_RS02065,7914.564213065415,8039.83203522859,8673.975546950069,9883.517536002742,9892.339829724539,11597.85246634538,11265.426128722596,10077.379138894736,10781.581443134835,12386.016967320478,10702.279849828103,9023.788241538243,6787.014236772367,6815.076023302597,5917.7000064677495,6361.617808131134,6469.5446686815,7545.958166045212,6643.629576209509
HAH_RS02070,3746.801471939522,2996.152358922804,3716.7110892503815,4946.347216253926,4943.625152429652,2997.416386957404,3190.345649121677,3527.922013921783,3482.0537166374365,3014.996050945355,3672.996120636624,3925.199702194472,6358.739542556242,6239.324825246797,5045.063062208473,5213.521332036497,5594.088407448218,6141.472634747096,5181.129359005445
HAH_RS02075,72.62197333916944,46.961635719793165,72.58556943054451,47.71986182656848,50.89524865232998,59.281411855770656,65.80152160611902,71.34180123315264,82.72697814905356,62.4089118325591,78.14885363056646,41.71073509043343,23.393155566427076,34.54507188334798,30.956440016867912,34.62293353723268,55.37313421731728,67.48056142984613,43.232692231539055
HAH_RS02080,97.23959142024383,88.70531191516487,95.68097788571777,60.567516933721535,76.34287297849498,99.11111044636657,142.91267973828977,184.64936789757152,138.37967254023505,114.057666452608,172.75009749914693,87.81207387459669,119.3650758389484,145.4529342456757,213.34843795408966,232.66611337020362,251.6323441014798,268.4391564571901,107.46412068982565
HAH_RS02085,4967.8353287608115,5580.085915416313,5514.85360468887,5385.0028691981515,5393.199848858567,9454.458918935174,11124.569746534498,9526.22875289744,10118.261491066969,11686.606748507316,11139.296465525349,5618.875077050756,4665.4349742479435,5881.146974666821,4660.199213350115,5417.104181235426,7313.459271183398,8676.072183837361,5678.305319668144
HAH_RS02090,4304.390521475857,3929.1235218893617,4802.195286643524,7446.133824245705,7403.5621706256015,5110.24295637948,5368.992903549274,5010.71239249319,5330.625646549925,5760.988171577955,6113.0912478120745,4094.237944403071,5156.691241142912,5101.761668667075,3859.5150756165317,4251.696238372174,4218.171161010321,4277.9709767998065,5292.299139029402
