"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS05675",2024,2301,1263,1253,1352,2281,2088,1217,1604,2162,1726,2211,2608,2535,1245,1511,1419,1307,2646
"HAH_RS05680",9538,12645,6170,6218,6699,9728,8737,6561,6276,7966,7873,10272,12940,10873,13546,15317,10894,8030,11903
"HAH_RS05685",1384,1270,1015,821,1064,1194,1126,788,974,1058,1041,1427,2409,2788,1136,1468,1342,1303,2754
"HAH_RS05690",679,830,785,828,888,632,703,601,369,683,1003,631,3641,2573,1125,1297,1018,867,3380
"HAH_RS05695",1012,1112,975,1217,1210,930,1087,723,550,1037,1027,1063,2632,2058,948,1093,807,668,2493
"HAH_RS05700",970,977,759,660,735,966,999,634,689,967,841,1115,1754,1713,822,997,904,914,1939
"HAH_RS05705",1236,1631,892,1028,1370,2027,1744,1168,1124,1842,1548,1505,1790,1928,1040,1452,1430,1538,2038
"HAH_RS05710",294,337,230,223,223,683,508,375,338,615,466,318,517,508,463,551,501,517,633
"HAH_RS05715",184,237,120,117,131,172,153,151,111,156,191,170,565,428,594,693,477,400,511
"HAH_RS05720",4000,5486,3741,4465,5131,8007,5928,4763,4360,5660,8887,5275,15932,16182,11817,12951,13782,13407,13933
"HAH_RS05725",12871,17040,10850,15168,18632,21414,17762,14260,12802,17477,23625,15586,42305,42626,28866,35531,34252,32059,33758
"HAH_RS05730",8135,11762,6028,5096,5888,14523,10613,8042,8206,11333,13545,10067,14042,15663,14697,17588,18940,20308,14367
"HAH_RS05735",8563,14092,6020,3941,4497,16029,11898,9229,9079,12640,15255,10396,15011,16805,15897,18633,20752,21461,16043
"HAH_RS05740",899,1100,714,517,513,1275,1166,1041,839,1122,1358,944,1314,1197,1189,1632,1458,1363,1229
"HAH_RS05745",2024,2752,1430,1138,1345,2819,2364,1601,1705,2422,2283,2420,2839,2642,2719,2698,2460,2105,2877
"HAH_RS05750",2975,4185,1603,1975,2410,4491,3591,2682,2544,3360,3692,3674,5340,4677,6058,5506,4974,4566,5581
"HAH_RS05755",9049,11672,6677,5240,6209,10359,9623,7530,7140,9286,13168,11261,20797,17128,15687,15958,15277,13788,20979
"HAH_RS05760",7315,8611,4690,5745,7553,9692,8533,5522,6031,8793,8598,8908,10879,10940,7276,8258,7663,7613,12092
"HAH_RS05765",7420,10739,4002,2681,3413,7385,7305,4124,5078,7320,6524,7976,12455,11639,5590,7239,5911,5393,13010
"HAH_RS05770",2166,3165,1197,948,1220,2192,2137,1255,1459,2157,1919,2403,4089,3731,2218,2344,2177,1858,4315
"HAH_RS05775",6070,8074,4268,5167,6267,8918,8128,5691,6128,8451,8512,6687,12572,11937,7554,9186,8149,6911,12054
"HAH_RS05780",811,1114,458,297,399,1028,969,727,692,1025,1145,896,1418,1556,1011,1080,1288,1386,1716
"HAH_RS05785",10515,12301,8491,8452,10041,14412,10719,8103,8163,10874,12705,12743,16345,15930,12226,15118,13964,13945,16880
"HAH_RS19900",394,622,393,435,639,362,455,784,306,371,692,324,1724,1216,1152,2012,1038,867,1245
"HAH_RS05790",4450,3371,2849,2436,2621,3640,3564,1913,3253,3437,3048,4577,4447,4657,2840,3515,3267,3065,4986
"HAH_RS05795",2151,2450,1474,1267,1384,2854,2385,1671,1726,2406,2468,2336,2466,2336,2354,2445,2321,2160,2354
"HAH_RS05800",70,70,42,24,34,87,83,75,54,87,131,46,862,378,1446,1570,1460,616,611
"HAH_RS05805",3363,3564,2176,2222,2294,4364,4250,2543,3175,4199,4079,3817,5505,5561,2907,3550,3457,3729,5999
"HAH_RS05810",1187,1370,904,636,695,1730,1728,1035,1152,1759,1554,1230,1558,1759,883,1166,1318,1285,1860
"HAH_RS05815",3853,4871,3020,2520,2729,5594,5625,3519,3921,5829,5586,4224,5481,6133,3252,3936,4445,4441,5910
"HAH_RS05820",3242,3543,2415,1927,2002,5972,3485,2238,2513,3909,3702,4450,4000,4793,3356,2998,3620,4720,4717
"HAH_RS05825",1220,1319,897,400,479,2387,2090,1454,1606,1973,2486,1450,1185,1546,1425,1731,1990,2182,1791
"HAH_RS05830",823,871,528,541,559,759,803,585,560,745,759,888,1418,1203,1089,1230,1010,733,1279
"HAH_RS05835",463,452,355,282,295,429,445,315,288,351,534,476,865,792,799,1007,872,694,1147
"HAH_RS05840",10452,12856,7333,10558,12944,15488,13329,9410,10437,13437,18306,12544,20656,22804,18779,18717,19852,20155,22881
