"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS14285",632,514,373,283,294,652,564,452,488,549,509,673,1016,1329,591,871,1108,1047,1131
"HAH_RS14290",2881,3503,2093,2482,2770,5294,5025,6034,2983,4757,5429,3367,10033,10868,9789,15665,15544,11423,8642
"HAH_RS14295",1063,1594,905,517,525,2113,2009,1664,1328,2039,1897,1219,2250,2487,1558,1969,2302,2982,2092
"HAH_RS14300",13021,18063,8901,4942,5642,21568,20511,13770,12485,20199,21314,15230,29286,35001,10041,11709,19582,20859,29091
"HAH_RS14305",5563,7491,3898,3257,3469,5583,5834,4998,3820,5333,5472,5532,16491,13752,9445,11954,10025,7964,12096
"HAH_RS14310",411,342,274,242,196,630,588,347,524,544,439,392,661,778,523,845,898,888,692
"HAH_RS14315",2557,2873,2507,2023,2156,4796,4225,2616,3358,3988,5210,2946,8199,9208,4074,5723,6870,7808,8207
"HAH_RS14320",665,821,430,499,512,1082,1079,906,722,1077,1058,830,1372,1449,1231,1518,1474,1398,1151
"HAH_RS14325",105,88,46,26,37,95,124,109,86,80,99,83,2909,1549,4550,6502,5815,2867,1650
"HAH_RS14330",28,28,20,16,37,70,93,66,31,51,68,21,1410,566,1473,2072,2851,1311,832
"HAH_RS14335",4843,5413,3716,3335,3742,10288,9737,5923,6425,9673,6614,5830,7690,9234,4241,5998,6668,8059,8242
"HAH_RS14340",10699,13287,8995,9121,9699,19245,17700,12782,11583,18722,15395,12347,26286,28726,16372,20912,23688,26720,21941
"HAH_RS14345",2297,2711,2283,2409,2160,5327,4408,3711,3038,4535,4979,3127,3186,3120,3066,4881,5552,5822,3271
"HAH_RS14350",1927,1934,1340,1033,1175,3360,2612,1510,1938,2719,2176,2481,2557,3454,1583,2105,3009,4165,2828
"HAH_RS14355",12517,15750,9721,16780,20491,22523,23974,15426,14784,24566,20376,14465,28558,29530,14039,20343,19825,18843,25878
"HAH_RS14360",3169,5551,3194,2347,2628,10385,6341,4968,5095,6832,7283,4303,7430,7923,7106,9454,11160,13382,5842
"HAH_RS14365",578,960,629,441,467,1943,1053,875,821,1114,1237,720,1575,1566,1527,1935,2536,3166,1332
"HAH_RS14370",2265,2391,1728,1189,1300,2937,2697,1926,1941,2493,2992,2315,8285,8518,4126,5497,5622,5477,8151
"HAH_RS14375",46383,27686,26925,25684,30504,53383,52837,34243,51774,52033,40109,63009,36994,78532,47277,55021,57434,61380,77174
"HAH_RS14380",2303,2355,1925,2078,1963,4335,4013,2895,2824,4030,4346,2835,4503,5765,3054,4136,4887,5614,4758
"HAH_RS14385",2403,3082,2639,2636,2664,3621,2995,2775,2088,2910,3341,2679,5832,5906,4552,5282,5813,5529,4919
"HAH_RS14390",1294,1366,1010,1148,1246,1730,1893,1133,1372,1781,1487,1481,3718,3398,1872,2888,2908,2686,3031
"HAH_RS14395",202,194,128,85,71,293,244,187,189,240,250,206,367,494,241,259,439,524,405
"HAH_RS14400",612,796,463,421,380,835,770,545,553,752,629,786,1277,1232,883,1319,1155,1163,1032
"HAH_RS14405",87,65,55,33,39,94,80,63,66,82,103,66,161,177,137,174,153,129,145
"HAH_RS14410",4005,4478,3179,3522,4186,9137,7617,5058,4841,7805,6230,4694,12422,12733,6373,8234,9411,9222,11066
"HAH_RS14415",321,385,268,293,294,601,593,459,350,585,632,330,955,1052,641,921,950,1044,876
"HAH_RS14420",616,872,547,458,503,1030,961,822,682,902,1050,728,1354,1298,985,1211,1273,1162,1230
"HAH_RS14425",432,605,301,250,266,722,720,532,429,672,694,467,858,798,633,781,778,736,789
"HAH_RS14430",827,993,654,576,691,1353,1116,870,765,1076,1261,983,3236,2934,2216,2600,2767,2851,2904
"HAH_RS14435",3580,4321,2978,3632,4086,5752,5152,3553,3253,5235,5151,4083,8915,8133,5035,6428,6260,6032,8387
"HAH_RS14440",851,1257,508,507,580,1200,1063,886,676,922,961,920,1913,2175,1872,2082,2335,2384,1821
"HAH_RS14445",654,820,400,374,502,717,588,441,478,532,488,678,1569,1659,1255,1208,1605,1744,1421
"HAH_RS14450",953,914,723,499,572,1465,1385,1037,847,1216,847,1203,1752,1975,1413,1865,2133,2076,1748
"HAH_RS14455",261,181,239,171,183,322,387,302,277,283,321,294,1197,1199,890,1223,1368,1401,1033
"HAH_RS14460",287,365,221,156,173,384,350,311,192,345,449,372,791,647,744,959,792,543,742
"HAH_RS14465",971,1078,812,780,814,1272,1341,1056,780,1302,1566,1060,2449,2281,1460,1983,2169,1782,2408
"HAH_RS20015",49,51,51,50,38,19,17,21,10,9,17,30,152,118,69,56,73,48,170
"HAH_RS14470",2409,3059,1998,2259,2624,3633,3212,2570,2299,3154,3471,2475,8409,7642,4838,6173,6391,5484,6362
"HAH_RS14475",1314,1959,910,362,429,1540,1474,1144,925,1361,1480,1354,2258,2095,1905,2312,2367,2077,1841
"HAH_RS14480",318,470,226,82,106,460,462,426,286,422,459,414,722,700,580,737,784,703,629
"HAH_RS14485",1918,2183,1590,1315,1277,3903,3549,2347,2563,3753,3079,2515,2837,3262,1957,2980,3150,3472,2696
"HAH_RS14490",1987,2386,1409,622,629,2886,2615,1683,1793,2698,1962,2226,3597,3552,2091,2820,2788,2946,3169
"HAH_RS14495",312,379,224,186,162,579,615,418,404,527,476,308,567,612,517,678,740,694,556
"HAH_RS14500",790,1094,568,449,584,1733,1712,1226,1110,1713,1619,947,1321,1500,1068,1516,1726,1599,1256
"HAH_RS14505",1554,1714,1108,972,1102,3010,2919,1819,2026,3002,2604,1746,3130,3025,2022,2851,2995,3005,2929
"HAH_RS14510",1848,2004,1343,1669,1833,2442,2280,1470,1748,2127,1696,2176,4124,4652,2432,3485,3472,3625,3337
"HAH_RS14515",3009,4198,2136,1295,1435,4122,3497,2758,2393,3492,3096,3405,7215,7546,4931,5659,5904,6241,5991
"HAH_RS14520",443,376,366,200,263,702,595,368,371,510,544,499,264,390,308,385,405,570,382
"HAH_RS14525",12965,15345,11216,17912,20478,28501,27778,17067,17057,28206,24277,15872,35972,38895,14976,20162,25479,28931,33040
"HAH_RS14530",440,345,410,506,553,643,634,507,428,625,684,404,1339,1125,997,1438,1470,1484,1050
"HAH_RS14535",5627,6037,4177,4294,4590,11706,10060,6223,8124,10193,8810,6906,12321,14513,6629,8715,10175,12754,12024
"HAH_RS14540",278,287,224,196,221,376,308,241,233,310,254,288,389,424,312,424,439,426,366
"HAH_RS14545",265,236,236,192,157,383,308,244,294,372,361,283,465,443,294,504,486,540,409
"HAH_RS14550",908,1061,683,315,280,1533,1429,1212,1050,1150,1708,962,3009,3443,4133,5496,8068,8397,2405
"HAH_RS14555",5986,9269,3870,3843,4841,8747,7594,5744,4897,7252,6384,6717,17601,15678,15132,20592,17432,13322,11377
"HAH_RS14560",1222,1812,865,570,689,1585,1547,1715,952,1551,1640,1330,3007,3025,2327,3609,2380,2015,2512
"HAH_RS14565",1659,1805,1297,743,767,3374,3084,2106,2218,2991,2538,2010,2694,3610,1753,2783,3584,3887,2757
"HAH_RS14570",36623,32816,25945,23519,25416,60214,26962,14519,24973,24266,20827,44356,32598,35725,30369,30894,47637,67347,47856
"HAH_RS14575",619,669,515,909,1031,811,837,634,578,839,722,743,1728,1628,950,1363,1287,1322,1365
"HAH_RS14580",202,219,153,164,156,357,321,208,158,268,310,249,388,416,383,532,618,598,353
"HAH_RS14585",2063,2281,1722,1765,2042,3337,2982,2294,2149,2762,2418,2507,6899,6801,4436,6293,6702,5877,5632
"HAH_RS14590",4735,5692,3736,3228,3866,7095,6430,5151,5002,6215,6669,5427,15226,14149,9302,11638,12413,12266,12677
"HAH_RS14595",1930,1796,1445,829,825,2689,2814,2259,2231,2791,2708,2205,3179,3603,2449,3863,3811,3388,3308
"HAH_RS14600",4735,5500,3549,1166,1346,10104,8789,5818,7037,9029,8862,5724,7563,8769,6017,7714,9956,12491,8172
"HAH_RS14605",4836,6328,3534,1911,2231,9955,7248,4048,5259,7889,7912,6460,11026,14603,7056,8004,11505,14758,12412
"HAH_RS14610",688,859,441,80,89,1962,1060,774,1046,1057,1532,1017,989,1669,979,1139,2173,3461,1836
"HAH_RS14615",20933,27671,13204,4156,4238,52871,27206,18754,27064,30124,37450,32325,31825,42971,22003,24327,36183,54750,42270
"HAH_RS14620",3622,5088,2583,1993,2158,6104,4628,3490,4005,4939,4758,4191,7039,6965,6186,9440,9717,9409,5601
"HAH_RS14625",2668,3696,2189,1284,1306,4964,5505,5502,3438,5420,6822,2927,8165,8696,5587,8882,7927,7443,6931
"HAH_RS14630",160,182,90,166,192,190,111,109,83,142,143,137,523,462,408,476,461,359,446
"HAH_RS14635",2592,3261,1948,1148,1292,4925,4708,3547,3721,4552,5111,3036,7567,8323,3921,5587,6760,6932,6766
"HAH_RS14640",218,175,202,264,225,99,75,47,90,54,65,294,360,416,86,59,61,109,304
"HAH_RS14645",1598,1746,944,540,667,895,1110,1087,587,926,1273,1519,4672,4051,2160,2460,1640,949,4843
"HAH_RS14650",694,450,555,741,600,345,326,285,254,311,364,761,2159,2659,335,505,677,638,1902
"HAH_RS14655",1545,2087,1211,1263,1321,964,1308,1445,586,1095,1415,1573,5314,4204,2534,3186,1876,943,4277
"HAH_RS14660",462,383,319,267,246,198,210,275,115,160,218,351,1343,1221,862,948,666,365,1330
"HAH_RS14665",491,686,311,246,276,708,607,528,345,531,649,473,1599,1656,1337,1705,1677,1415,1212
"HAH_RS14670",140,92,92,66,61,99,98,64,67,71,97,136,172,242,72,111,152,163,224
"HAH_RS14675",644,792,498,220,212,871,831,622,667,754,826,817,1216,1310,1079,1293,1363,1281,1253
"HAH_RS14680",166,193,124,107,95,358,349,248,199,341,340,237,464,478,347,525,535,486,427
"HAH_RS14685",324,339,259,56,82,277,251,213,242,249,284,286,730,693,511,737,638,541,579
"HAH_RS14690",985,1273,710,583,675,1582,1538,1140,980,1482,1519,1104,1895,2016,1673,2307,2385,2047,1746
"HAH_RS14695",14912,21532,11428,5763,5991,28257,24510,15591,16529,25582,21151,16909,29485,33530,18082,20842,24949,28625,29847
"HAH_RS14700",443,498,278,311,350,749,571,460,438,617,636,416,645,709,658,814,963,920,550
"HAH_RS14705",1127,1312,793,935,1060,2176,1725,1228,1268,1712,1682,1239,1978,2039,1988,2616,2689,2801,1814
"HAH_RS14710",866,1376,743,769,847,2347,2019,1614,1250,2101,1643,1121,1971,2004,1939,3077,2927,2716,1648
"HAH_RS14715",334,396,188,79,60,642,801,629,381,651,692,329,624,811,850,1952,1594,1292,781
"HAH_RS14720",11104,14014,5046,3097,2926,17245,14572,10084,10410,13477,12167,13201,31584,39980,28529,33601,38368,44466,33907
"HAH_RS14725",6234,8264,4814,10734,12332,7960,8854,9190,4600,8316,12093,7530,15139,15458,10950,13783,12527,9215,12966
"HAH_RS14730",243,264,205,222,216,326,303,322,141,254,376,260,675,602,526,638,554,547,642
"HAH_RS14735",199,180,135,105,137,297,270,163,194,259,185,230,222,310,171,265,367,569,255
"HAH_RS14740",1084,1413,839,800,979,1850,1674,1301,1153,1643,1577,1327,3122,3386,2128,2834,3051,3402,2720
"HAH_RS14745",1801,1914,1351,1842,1822,4198,3977,2764,2577,4079,3350,2258,3523,4240,1990,2973,3561,4395,3375
"HAH_RS14750",1085,1546,855,974,1070,2861,2499,1955,1529,2552,1999,1360,3110,3533,2215,2920,3427,3943,2888
"HAH_RS14755",952,1107,711,828,1003,1801,1675,1250,1194,1621,1456,1020,2591,2857,1502,2128,2373,2491,2382
"HAH_RS14760",1706,2379,1289,1747,1941,3971,3710,2647,1774,3615,2530,2232,4619,4821,2695,3869,4206,4313,4185
"HAH_RS14765",660,786,514,516,506,1241,1203,867,733,1315,909,742,1416,1559,969,1260,1247,1299,1265
"HAH_RS14770",148,144,93,124,88,282,287,238,159,267,285,159,227,321,184,248,300,401,299
"HAH_RS14775",200,218,175,249,292,428,427,378,255,421,397,243,503,573,260,346,449,551,493
"HAH_RS14780",256,191,266,967,820,814,1206,1380,574,1120,1566,319,296,418,253,448,558,669,319
"HAH_RS14785",480,627,345,433,481,808,827,810,558,801,875,599,1094,1103,927,1243,1388,1324,864
"HAH_RS14790",487,538,319,454,464,788,773,851,599,799,883,491,916,884,903,1087,1221,1110,783
"HAH_RS14795",4883,4072,2698,2210,2051,6618,5695,3423,4636,6080,4912,5668,4610,8600,2570,2735,5148,6581,5824
"HAH_RS14800",1886,2103,1437,1048,1141,3118,3032,2786,2425,3234,4198,2443,5497,5347,4477,5831,6598,7079,4849
"HAH_RS14805",625,502,526,564,581,401,447,583,300,432,579,696,1814,1912,310,495,454,590,1615
"HAH_RS14810",195,208,124,172,135,448,419,318,269,387,396,204,277,383,322,468,477,630,304
"HAH_RS14815",116,142,118,93,85,308,311,225,206,316,316,157,270,342,274,379,417,465,266
"HAH_RS14820",4268,5078,3071,2598,2811,9220,8842,5472,5752,9100,7107,5473,6993,8844,4454,6686,7929,8660,6990
"HAH_RS14825",2736,3509,2289,1970,2125,6141,5240,3619,3848,5471,5902,3482,7804,8126,5321,7003,8130,8786,6739
"HAH_RS14830",2062,2343,1548,1200,1155,3813,3587,2347,2483,3411,3110,2416,5576,5988,3487,5198,5743,5772,4811
"HAH_RS14835",3315,4508,2334,1786,2060,4108,3355,3386,2319,3203,4098,3819,7759,8120,3447,4580,5070,5171,6759
"HAH_RS14840",1386,1315,1500,1660,1733,3008,3307,1996,2155,3421,3121,1635,3004,3370,1595,2376,3126,3611,3182
"HAH_RS14845",17471,23724,12054,12368,14077,44281,40730,27524,26124,41723,36217,21862,36616,45698,23671,32678,43815,48090,36302
"HAH_RS14850",389,362,331,545,719,892,699,607,411,595,654,459,907,1210,1078,1465,2425,2824,795
"HAH_RS14855",444,626,348,220,273,626,503,400,330,471,442,515,1261,1083,622,843,708,815,936
"HAH_RS14860",1349,1697,1133,1479,1735,2227,1705,1307,1158,1547,1760,1702,4238,3840,3136,4205,4114,3619,3330
"HAH_RS14865",568,515,462,392,363,782,803,542,453,774,449,510,906,856,567,1013,837,867,795
"HAH_RS14870",133,145,106,98,85,235,242,154,154,270,229,168,320,371,209,327,306,373,303
"HAH_RS14875",3873,4379,3022,1742,1870,9110,7305,5108,5884,7527,7057,4935,9673,13914,6207,7075,11834,17901,11841
"HAH_RS14880",88,123,73,94,89,109,114,131,73,98,142,108,1243,574,1028,1848,1895,912,656
"HAH_RS20020",78,78,46,37,41,47,55,72,31,52,46,43,943,387,744,1063,1071,438,495
"HAH_RS14885",341,282,318,204,252,414,387,267,244,382,380,322,1168,1023,657,963,793,727,1054
"HAH_RS14890",735,870,455,429,454,1583,1370,904,882,1237,1063,832,930,1166,835,1121,1571,1596,1060
"HAH_RS14895",911,1000,614,460,490,1867,1805,1125,1250,1834,1412,1037,1517,1584,1104,1835,1924,1795,1325
"HAH_RS14900",6084,9694,4453,2246,2645,5983,6001,5382,3513,5551,6248,6385,20312,16303,12812,15790,12658,8213,14344
"HAH_RS14905",2092,2000,1374,1233,1412,2619,2121,1352,1212,2178,1876,2543,3737,5318,783,1029,1900,2916,4145
"HAH_RS14910",2254,2235,1641,1455,1588,2840,2593,1540,1573,2534,2293,2562,4096,5802,895,1289,2088,3180,4510
"HAH_RS14915",4120,4119,3013,2199,2385,5791,5164,3883,3700,4940,5256,4644,6673,8997,1944,2999,4775,6517,7410
"HAH_RS14920",12154,14819,7360,5762,6700,22259,18447,12990,15298,17574,19314,15610,28453,39194,15302,19800,29764,38916,31294
"HAH_RS14925",817,957,885,767,889,956,935,811,605,939,1183,952,2641,2462,1726,2253,1931,1373,2056
"HAH_RS14930",1110,1278,830,512,512,2239,2538,2322,1475,2361,2922,1098,1914,2488,1943,3686,2903,2705,1936
"HAH_RS14940",2604,2987,1841,2189,2702,4970,4389,2868,3015,4592,3510,3099,5931,6945,3290,4838,6362,6486,5675
"HAH_RS14945",4715,5966,3035,2982,3370,8517,7759,5118,5900,8017,6875,5555,11138,12355,6513,8727,10983,11168,10044
"HAH_RS14950",2273,2856,1693,2137,2307,4782,4109,3477,2969,4106,4159,2734,4067,4606,4265,5528,6351,6694,3920
"HAH_RS14955",6501,7594,5563,4825,5839,9234,10687,8026,6286,9830,12312,6822,15405,16283,7824,11576,12204,10304,16269
"HAH_RS14960",684,849,564,519,535,429,559,867,316,478,730,658,2152,1784,1385,2072,1223,652,1619
"HAH_RS14965",1341,1644,1150,573,582,1055,1256,855,814,1104,1063,1375,4740,3534,1851,2628,1996,1486,3277
"HAH_RS14970",1837,2275,1367,805,897,1767,1709,1427,1171,1656,1601,2010,4987,4063,2168,3263,2496,2319,3638
"HAH_RS14975",7246,8226,5868,4440,4715,12616,11772,8345,8314,11832,10936,8633,14269,15848,8253,11629,13500,15471,14043
"HAH_RS14980",475,528,328,243,211,646,525,458,353,527,557,476,1148,1339,759,986,1137,1131,1185
"HAH_RS14985",2325,5314,1022,223,236,3136,2513,2013,1943,1974,2586,2653,15613,18345,20117,19157,23003,28387,14410
"HAH_RS14990",8710,12762,6141,2976,2684,18763,23301,19701,9606,23244,22689,9931,11142,12430,8812,16737,14484,9077,13562
"HAH_RS14995",11530,16404,7753,3603,3310,23477,29223,24603,12687,29076,28685,12779,16077,17792,12246,23352,19941,12842,18674
"HAH_RS15000",11686,15958,7377,3924,3658,22107,27963,24097,13059,27391,29753,12659,15915,17035,12398,24040,20630,12240,18023
"HAH_RS15005",8392,10529,5918,3149,2558,15195,19212,16817,9964,18672,22239,9349,11225,11711,9720,17372,15340,8919,12786
"HAH_RS15010",21104,27180,16171,10644,9531,38994,52651,45024,25317,50657,57701,23253,30578,31150,25105,49725,40850,23459,32195
"HAH_RS15015",20979,28215,16564,11296,10700,39624,52385,47026,24100,50725,59158,23063,32084,31791,26853,50387,42568,24964,35221
"HAH_RS15020",2608,2184,2039,1174,1107,3588,3809,3363,2489,3336,4105,2419,2780,2644,2828,4542,4572,2530,3573
"HAH_RS15025",11517,13593,10017,9521,9085,20074,23157,20036,11345,22729,19556,12783,22199,24331,16319,34792,29528,24150,21038
"HAH_RS15030",11742,15236,10384,9705,9498,22155,23132,19364,12294,23413,24923,13136,23840,26085,18601,35189,31627,26786,23407
"HAH_RS15035",274,354,255,203,200,373,354,314,260,345,369,333,565,684,404,538,719,832,477
"HAH_RS15040",1081,1368,923,364,378,1740,1669,1508,1190,1531,1678,1280,2803,3509,1923,2593,3293,3864,2404
"HAH_RS15045",189,176,145,221,228,257,200,168,169,177,186,254,365,401,325,461,519,502,386
"HAH_RS15050",3486,2940,2529,1508,1593,5291,5000,3039,3889,4887,3491,3763,5551,5858,2956,4493,4164,4514,4968
"HAH_RS15055",1519,1540,1031,772,900,2660,2201,1607,1575,2178,2062,1698,3075,3453,1714,2259,2411,2606,2773
"HAH_RS15060",11935,17170,8965,5771,6299,28179,24581,18179,16940,26463,23550,14999,34806,34447,17517,24210,26761,28132,29239
"HAH_RS15065",2022,2150,1394,1388,1503,1402,937,786,654,846,1058,2144,5206,4517,3806,3795,3986,4402,4687
"HAH_RS15070",12088,14741,9098,10711,11476,28615,25381,16013,16636,26500,24297,14748,23297,27889,11643,17963,21324,24352,24123
"HAH_RS20025",305,242,328,255,300,132,136,171,84,85,164,241,1862,1585,662,837,664,399,2059
"HAH_RS15075",6459,7520,4628,4137,4605,10784,8904,5984,6597,9216,8799,7589,11736,12685,6900,8765,10097,11549,11148
"HAH_RS15080",11293,15871,7570,5478,6459,22547,19248,13557,12895,19870,19119,14072,22689,24596,13163,16707,20315,22093,21882
"HAH_RS15085",1291,1443,778,363,351,2646,2476,1779,1753,2336,2403,1314,1817,2119,1517,1944,2507,2741,2014
"HAH_RS15090",9359,13499,6907,8322,10480,27302,27347,22847,16837,27124,27776,11619,51653,50926,36296,47650,42309,33509,33327
"HAH_RS15095",1721,2002,1328,1267,1324,3266,3091,2152,2134,2987,3391,2046,3666,3959,2578,3802,4513,4238,3447
"HAH_RS15100",27407,36160,17386,15452,18590,28332,24291,18665,16952,24818,28147,31552,60384,64166,37680,48133,45655,31896,56294
"HAH_RS15105",12224,16353,9726,14134,16483,14490,11758,10042,6764,11851,12463,13723,33433,30337,21046,22065,22332,20799,27145
"HAH_RS15110",7439,9848,6094,8866,11104,8257,6724,6179,4430,6745,7149,8292,19425,18130,12816,11509,11846,12070,16146
"HAH_RS15115",18267,23670,14043,20245,24568,18643,14824,13364,9322,14163,15901,20273,45244,42789,31021,30400,30182,28283,37740
"HAH_RS15125",97,94,96,83,49,138,126,121,100,121,148,125,144,173,271,324,224,190,196
"HAH_RS15130",1387,1729,1085,933,988,2124,1809,1234,1253,1617,1895,1548,4143,4523,3672,4050,3970,4063,4131
"HAH_RS15135",109,113,69,90,93,174,141,95,108,118,128,125,285,309,358,366,365,355,326
"HAH_RS19715",77,52,44,13,26,112,81,75,48,58,95,72,112,141,161,185,217,199,154
"HAH_RS20150",98,123,74,68,80,105,130,137,101,100,139,104,224,206,216,340,272,233,216
"HAH_RS15150",242,200,174,184,207,302,228,187,192,282,270,252,357,354,328,382,338,365,398
"HAH_RS19195",31,18,20,8,10,26,31,33,21,13,21,34,29,35,25,31,31,29,44
"HAH_RS15165",244854,289328,245362,539519,634592,159857,79680,62797,118175,148248,68693,288887,60289,285815,111519,174459,67910,80413,52425
"HAH_RS15170",280928,225676,249085,555962,522170,157858,85441,55602,114871,103892,79245,340461,487544,1078799,448140,450283,333607,538421,453289
"HAH_RS15175",10502,1839,7205,4063,3297,8703,2294,2117,6810,2366,3132,5316,5540,2924,7324,31116,19457,9149,15670
"HAH_RS15180",721,697,538,343,332,3086,2472,1542,1914,2686,2889,954,297,643,466,703,1014,1523,668
"HAH_RS15185",632,678,423,462,519,1221,981,684,845,1066,1062,705,1455,1429,1375,1308,1381,1510,1447
"HAH_RS15190",696,972,459,613,644,1732,1410,1014,1008,1336,1362,890,1571,1508,1635,1430,1403,1574,1622
"HAH_RS15205",917,976,608,682,684,1186,951,625,607,916,953,973,2059,1961,1872,1738,1941,1787,1759
"HAH_RS15210",917,879,560,737,710,935,859,502,492,769,827,862,1600,1525,1407,1228,1390,1385,1498
"HAH_RS15220",26,39,11,5,5,25,31,31,16,41,41,31,30,36,55,66,61,63,42
"HAH_RS15225",1097,1457,796,290,320,1445,1124,882,907,1270,1415,1190,2068,2461,1701,1786,1963,2207,2378
"HAH_RS15230",1449,1970,1074,478,517,1812,1728,1282,1230,1656,1998,1581,3030,3510,2377,2548,2421,2514,3204
"HAH_RS15235",82,79,65,49,55,91,106,89,82,99,98,78,114,158,182,205,189,188,135
"HAH_RS15240",221,234,176,152,217,301,216,127,185,181,200,226,395,365,321,396,313,298,341
"HAH_RS19210",160,231,74,757,670,407,267,175,191,238,261,195,162,163,421,479,493,446,191
"HAH_RS15255",184,191,120,170,168,275,208,158,171,220,208,230,374,392,257,344,357,351,418
"HAH_RS15260",19,20,8,14,9,29,32,26,19,25,16,20,14,33,27,35,33,43,30
"HAH_RS15265",31,40,28,15,24,37,35,25,25,38,39,37,80,93,82,88,96,165,85
"HAH_RS15270",6,17,10,6,10,16,9,8,12,21,15,16,27,30,21,29,42,46,27
"HAH_RS15275",23,36,20,14,15,23,36,32,35,25,37,36,90,84,64,94,109,127,91
"HAH_RS15280",4,5,5,4,5,13,5,5,14,6,13,9,19,25,18,21,39,60,22
"HAH_RS19215",330,290,299,173,207,505,376,276,311,388,415,396,557,501,420,506,484,535,682
"HAH_RS15285",36,20,21,15,15,37,42,23,24,25,34,26,75,88,99,144,169,164,73
"HAH_RS19225",56,48,48,23,29,56,35,50,46,62,44,55,118,130,118,182,208,163,129
"HAH_RS15290",2487,3176,1756,1485,1705,4817,3099,2063,2056,2919,2871,3203,3678,5108,1990,2330,3318,4079,4193
"HAH_RS15295",811,989,573,556,662,1250,1110,896,696,948,1309,861,1499,1376,1401,1422,1255,1389,1759
"HAH_RS15300",1690,1905,1382,920,1033,2765,2296,1535,1855,2169,2236,2014,3233,3702,2659,2867,3288,4171,3110
"HAH_RS15305",487,691,334,659,1046,1593,1570,1369,866,1526,1640,657,2175,2694,2968,3338,2475,2393,1514
"HAH_RS15310",299,292,251,93,99,326,258,233,243,272,285,329,356,431,309,402,453,532,466
"HAH_RS15315",159,168,117,100,100,162,119,79,82,132,135,160,226,247,201,216,249,329,311
"HAH_RS15320",582,506,342,300,377,565,504,302,422,458,438,647,641,874,462,589,588,680,932
"HAH_RS20030",21,15,15,16,5,28,39,35,29,26,30,24,17,36,27,46,48,36,29
"HAH_RS15325",1835,2092,1236,1049,1143,1722,1486,1019,1087,1212,1242,1840,4652,4277,4023,4378,3577,2777,3821
"HAH_RS15330",746,940,539,387,406,951,831,784,606,714,848,782,1592,1457,1895,2198,1746,1361,1690
"HAH_RS15335",19,13,11,18,12,21,10,23,8,14,19,14,5,30,20,50,21,25,25
"HAH_RS20035",9,7,5,5,4,8,15,15,5,3,9,6,4,11,8,16,15,12,9
"HAH_RS15345",48,46,51,33,27,62,48,29,42,41,57,40,84,103,98,118,103,97,117
"HAH_RS20040",446,445,450,417,453,563,403,297,330,336,373,417,738,606,724,972,842,648,735
"HAH_RS15350",29992,32127,19680,24366,27100,43965,29417,18567,23805,28406,27936,35140,42894,45201,33743,33793,47521,56495,47178
"HAH_RS15355",1515,1719,906,731,819,2514,1791,1130,1431,1747,1712,1823,1885,2299,1694,2078,3300,3758,2303
"HAH_RS15360",1511,1933,1210,1201,1269,2121,1931,1694,1310,1897,1983,1873,3259,3320,3327,4060,3948,4243,2879
"HAH_RS19775",43,39,23,17,12,33,30,27,26,30,34,27,111,67,103,121,75,55,109
"HAH_RS15370",1515,2123,974,808,901,2289,1845,1125,1126,1939,1664,1801,3558,3014,2652,2691,2843,3167,2949
"HAH_RS15375",5586,6660,3622,2376,2555,6500,5817,3554,3870,5794,5437,5953,14923,11572,9193,9318,9964,10150,12086
"HAH_RS15380",169,183,126,101,100,170,136,116,97,157,169,157,397,284,388,432,350,327,358
"HAH_RS15385",143,152,114,106,84,151,108,75,81,94,129,158,388,296,339,388,353,371,318
"HAH_RS19235",410,465,385,374,353,387,387,353,247,344,372,428,1335,883,872,944,840,761,961
"HAH_RS15390",281,181,214,178,162,232,217,141,143,188,223,288,859,429,1076,1022,986,948,591
"HAH_RS19570",3937,5610,3011,2368,2632,4617,3848,2581,2694,3889,3841,4962,9375,8577,7825,8701,6912,5951,8148
"HAH_RS15405",1499,1678,1163,1168,1152,1951,1525,1145,1080,1591,1732,1798,3234,2624,4494,4060,3372,3419,2617
"HAH_RS15410",432,504,360,422,460,553,366,303,284,377,491,568,1123,833,1569,1548,1265,1164,853
"HAH_RS15415",170,205,144,172,183,210,131,110,89,149,130,230,354,344,542,575,422,451,315
"HAH_RS15420",508,674,338,258,278,826,694,539,473,645,697,576,992,1003,803,991,1080,1046,1057
"HAH_RS15425",113,113,65,69,67,186,131,113,108,137,125,103,275,272,194,212,274,280,299
"HAH_RS15430",36,39,43,28,28,61,35,37,27,65,48,48,94,97,80,84,106,125,90
"HAH_RS15435",88,69,81,35,36,93,62,50,66,53,66,78,124,117,118,136,149,179,128
"HAH_RS15440",38,48,55,53,48,76,48,51,54,61,100,68,228,210,155,191,234,262,259
"HAH_RS15445",4134,3544,4441,7986,7445,7050,6204,5247,3891,6084,4756,5272,28274,27363,13674,19537,21545,29272,24542
